Fund,Fund Manager,Category,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,classification
DSP Regular Savings Fund Reg(G),Abhishek Singh,HY-DT(CO),1.37,1.06,0.36,0.09,-0.65,0.54,1.03,0.74,0.42,-0.46,Hybrid : Debt Oriented (Conservative)
DSP Savings Fund Reg(G),Karan Mundhra,DT-MM,0.74,0.62,0.62,0.56,0.42,0.51,0.5,0.48,0.49,0.23,Debt : Money Market
DSP Short Term Fund Reg(G),Karan Mundhra,DT-SD,1.35,1,0.24,0.55,-0.1,0.55,0.73,0.47,0.09,-0.02,Debt : Short Duration
DSP Silver ETF,Ravi Gehani,GOLD-ETF,-6.55,3.37,8.45,3.92,6.59,20.3,4.76,10.09,39.16,44.66,Gold : ETFs
DSP Silver ETF FoF Reg(G),Anil Ghelani,FOF-DOM,-,-,8.28,4.05,6.24,19.63,4.93,9.8,37.11,30.25,FoFs : Domestic
DSP Small Cap Fund Reg(G),Vinit Sambre,EQ-SML,-0.51,14.05,4.52,-1.18,-2.68,-1.12,1.98,0.64,-0.82,-4.97,Equity : Small Cap
DSP Strategic Bond Fund Reg(G),Sandeep Yadav,DT-DYN,2.16,0.34,-1.76,0.49,-1.54,1.08,0.43,-0.02,0.3,-0.28,Debt : Dynamic Bond
DSP Ultra Short Fund Reg(G),Shalini Vasanta,DT-USD,0.69,0.59,0.55,0.5,0.38,0.49,0.49,0.45,0.42,0.23,Debt : Ultra Short Duration
DSP US Specific Debt Passive FoF Reg(G),Kaivalya Nadkarni,FOF-OVR,0.27,-0.49,1.34,2.21,1.58,1.84,0.39,1.74,0.59,1.44,FoFs : Overseas
DSP US Specific Equity Omni FoF Reg(G),Kaivalya Nadkarni,FOF-OVR,-2.18,13.9,8.19,5.69,1.08,5.45,4.41,0.93,2.08,4.91,FoFs : Overseas
DSP Value Fund Reg(G),Aparna Karnik,EQ-VAL,0.62,4.37,2.52,-0.85,-0.18,3.2,3.04,0.27,1.41,0.78,Equity : Value / Contra
DSP World Gold Mining Overseas Equity Omni FoF Reg(G),Kaivalya Nadkarni,FOF-OVR,6.93,4.85,1.95,2.35,18.7,23.02,-4.54,16.12,7.52,15.21,FoFs : Overseas
DSP World Mining Overseas Equity Omni FoF Reg(G),Kaivalya Nadkarni,FOF-OVR,0.1,4.37,3.7,3.81,11.16,14.67,0.42,7.97,9.24,18.63,FoFs : Overseas
Edelweiss Aggressive Hybrid Fund Reg(G),Bhavesh Jain,HY-MULTI,2.13,2.48,3.3,-1.98,-1.15,0.9,2.76,0.51,-0.18,-2.61,Hybrid : Multi Asset Allocation
Edelweiss Arbitrage Fund Reg(G),Bhavesh Jain,HY-ARB,0.64,0.35,0.58,0.49,0.38,0.35,0.49,0.52,0.56,0.55,Hybrid : Arbitrage
Edelweiss ASEAN Equity Off Shore Fund Reg(G),Bhavesh Jain,FOF-OVR,1.28,5.17,-0.95,3.49,4.12,0.45,1.66,0.11,3.2,5.41,FoFs : Overseas
Edelweiss Balanced Advantage Fund Reg(G),Bhavesh Jain,HY-DYN,1.45,2.06,2.58,-2.04,-0.74,1.36,2.75,1.17,0.17,-1.92,Hybrid : Dynamic Asset Allocation
Edelweiss Banking and PSU Debt Fund Reg(G),Kedar Karnik,DT-B&PSU,1.38,1.25,-0.19,0.56,-0.25,0.62,0.75,0.48,0.05,-0.14,Debt : Banking & PSU
Edelweiss BSE Capital Markets & Insurance ETF,Bhavesh Jain,EQ-ETF,7.7,8.15,8.12,-5.09,-2.3,0.92,4.21,2.52,0.25,-2.24,Equity : ETFs
Edelweiss BSE Internet Economy Index Fund Reg(G),Bhavesh Jain,EQ-THEM,-,-,7.65,-1.82,-0.83,-0.38,6.23,0.08,-1.83,-5.81,Equity : Thematic
Edelweiss BSE Sensex ETF,Bhavesh Jain,EQ-ETF,-,-,-,-,-,-,-,-,-0.58,-3.44,Equity : ETFs
Edelweiss Business Cycle Fund Reg(G),Bhavesh Jain,EQ-THEM,2.29,4.19,5.19,-3.35,-2.85,0.43,3.21,0.88,0.57,-2.66,Equity : Thematic
Edelweiss Consumption Fund Reg(G),Dhruv Bhatia,EQ-CONS,4.8,1.05,3.19,-1.35,2.29,0.92,2.1,0.2,-0.79,-6.83,Equity : Thematic - Consumption
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund Reg(G),Dhawal Dalal,DT-LD,2.15,1.04,-0.91,0.03,-1.5,0.63,0.67,0.81,-0.42,0.17,Debt : Long Duration
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund Reg(G),Dhawal Dalal,DT-M&LD,1.28,1.01,0.32,0.55,0.16,0.6,0.55,0.52,0.4,0.41,Debt : Medium to Long Duration
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund Reg(G),Dhawal Dalal,DT-M&LD,1.74,1.23,0.23,0.45,-0.44,0.79,0.84,0.43,0.54,0.14,Debt : Medium to Long Duration
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund Reg(G),Dhawal Dalal,DT-SD,1.5,1.14,0.07,0.52,-0.23,0.71,0.61,0.44,0.26,0.35,Debt : Short Duration
Edelweiss CRISIL IBX AAA Financial Services Bond   Jan 2028 Index Fund Reg(G),Dhawal Dalal,DT-M&LD,1.35,0.9,0.53,0.74,0.3,0.67,0.64,0.57,0.29,0.06,Debt : Medium to Long Duration
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund Reg(G),Dhawal Dalal,DT-MD,0.66,0.55,0.52,0.48,0.41,0.48,0.48,0,0,0,Debt : Medium Duration
Edelweiss CRISIL IBX AAA Bond NBFC HFC Jun 2027 Index Fund Reg(G),Dhawal Dalal,DT-SD,1.24,0.85,0.55,0.73,0.47,0.61,0.59,0.55,0.38,0.21,Debt : Short Duration
Edelweiss ELSS Tax saver Fund Reg(G),Ashwani Agarwalla,EQ-ELSS,2.34,3.75,4.41,-3.72,-1.49,1.28,5.16,1.97,-0.04,-2.49,Equity : Tax Saving (ELSS)
Edelweiss Emerging Markets Opp Eq. Offshore Fund Reg(G),Bhavesh Jain,FOF-OVR,-0.07,5.86,6.29,2.87,2.02,9.45,4.76,-0.73,3.21,12.49,FoFs : Overseas
Edelweiss Equity Savings Fund Reg(G),Bhavesh Jain,HY-EQ,1.3,1.27,1.31,0.4,0.41,0.7,1.69,0.3,0.4,-0.68,Hybrid : Equity Oriented
Edelweiss Europe Dynamic Equity Off shore Fund Reg(G),Bhavesh Jain,FOF-OVR,6,7.19,2.93,-0.18,1.93,2.61,1.55,2.2,4.84,6.54,FoFs : Overseas
Edelweiss Flexi Cap Fund Reg(G),Trideep Bhattacharya,EQ-FLEX,2.96,2.36,4.53,-3.12,-0.66,0.99,4.46,1.18,0.44,-2.05,Equity : Flexi Cap
Edelweiss Focused Fund Reg(G),Trideep Bhattacharya,EQ-FLEX,3.03,2.88,3.63,-3.67,-0.82,0.35,4.22,0.85,0.18,-1.79,Equity : Flexi Cap
Edelweiss Gold and Silver ETF FoF Reg(G),Bhavesh Jain,FOF-DOM,-0.14,1.76,4.29,3.61,4.84,15.84,5.09,7.15,21.29,27.91,FoFs : Domestic
Edelweiss Gold ETF,Amit Vora,GOLD-ETF,3.88,1.12,0.6,2.4,3.84,12.18,4.8,4.49,5.08,23.3,Gold : ETFs
Edelweiss Government Securities Fund Reg(G),Kedar Karnik,DT-GILT,2.13,0.27,-1.58,0.22,-1.64,1.23,0.09,-0.07,0.41,-0.29,Debt : Gilt
Edelweiss Greater China Equity Off shore Fund Reg(G),Bhavesh Jain,FOF-OVR,-3.74,6.96,5.29,7.42,5.66,10.25,-0.51,-1.75,2.51,6.59,FoFs : Overseas
Edelweiss Income Plus Arbitrage Active FoF Reg(G),Bhavesh Jain,FOF-DOM,-,-,-,-,0.14,0.52,0.62,0.56,0.3,0.2,FoFs : Domestic
Edelweiss Large & Mid Cap Fund Reg(G),Sumanta Khan,EQ-L&M,2.34,4.28,4.68,-3.39,-1.6,0.9,4.23,1.75,0.22,-2.55,Equity : Large & Mid Cap
Edelweiss Large Cap Fund Reg(G),Bharat Lahoti,EQ-LC,3,2.08,3.15,-3.39,-1.1,1.24,3.88,1.45,-0.19,-2.5,Equity : Large Cap
Edelweiss Liquid Fund Reg(G),Rahul Dedhia,DT-LIQ,0.58,0.56,0.52,0.48,0.47,0.48,0.48,0.48,0.5,0.44,Debt : Liquid
Edelweiss Low Duration Fund Reg(G),Hetul Raval,DT-LOWD,0.81,0.63,0.52,0.54,0.31,0.48,0.46,0.46,0.42,0.16,Debt : Low Duration
Edelweiss Mid Cap Fund Reg(G),Trideep Bhattacharya,EQ-MID,3.5,5.22,6,-4.04,-0.96,0.25,4.49,1.23,0.03,-2.39,Equity : Mid Cap
Edelweiss Money Market Fund Reg(G),Rahul Dedhia,DT-DYN,0.81,0.63,0.56,0.52,0.37,0.45,0.46,0.45,0.5,0.25,Debt : Dynamic Bond
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,0.92,-2.11,3.5,2.19,-1.42,-0.25,3.42,4.87,-1.79,-2.35,Equity : Index Funds
Edelweiss Multi Asset Allocation Fund Reg(G),Bhavesh Jain,HY-MULTI,1.2,0.71,0.31,0.52,0.11,0.53,0.58,0.5,0.09,-0.59,Hybrid : Multi Asset Allocation
Edelweiss Multi Asset Omni FoF Reg(G),Bhavesh Jain,FOF-DOM,-,-,-,-,-,-,3.92,2.26,3.93,3.16,FoFs : Domestic
Edelweiss Multi Cap Fund Reg(G),Trideep Bhattacharya,EQ-MLC,3.1,4.02,4.58,-3.34,-2.09,0.81,4.78,0.3,0.1,-1.79,Equity : Multi Cap
Edelweiss Nifty 100 Quality 30 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,2.98,3.18,2.18,-2.62,1.61,-0.34,3.02,1.69,0.42,-0.87,Equity : Index Funds
Edelweiss Nifty 1D Rate Liquid ETF(G),Hetul Raval,DT-ETF,-,-,-,-,-,-,-,0.39,0.45,0.43,Debt : ETFs
Edelweiss Nifty 50 ETF,Bhavesh Jain,EQ-ETF,-,-,-,-,-,-,-,-,-0.29,-3.02,Equity : ETFs
Edelweiss Nifty 50 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,3.44,1.87,3.31,-2.81,-1.25,0.72,4.57,1.86,-0.3,-3.09,Equity : Index Funds
Edelweiss Nifty Alpha Low Volatility 30 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,4.26,0.71,2.85,-2.67,-1.07,-0.74,3.21,0.73,0.06,-2.98,Equity : Index Funds
Edelweiss Nifty Bank ETF,Bhavesh Jain,EQ-ETF,6.82,1.36,3.09,-2.25,-3.91,1.81,5.74,3.41,-0.33,0.01,Equity : ETFs
Edelweiss NIFTY Large Mid Cap 250 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,3.54,4.2,3.69,-2.81,-2.12,1.19,4.48,1.48,-0.42,-3.28,Equity : Index Funds
Edelweiss Nifty LargeMidcap 250 ETF,Bhavesh Jain,EQ-ETF,-,-,-,-,-,-,4.46,1.46,-0.43,-3.28,Equity : ETFs
Edelweiss Nifty Midcap150 Momentum 50 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,3.75,5.52,4.79,-4.27,-3.01,-1.27,5.36,2.66,-2.95,-2.33,Equity : Index Funds
Edelweiss Nifty Next 50 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,2.21,3.37,3.47,-2.67,-1.84,3.1,2.88,-1.01,0.26,-2.25,Equity : Index Funds
Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50:50 Index Fund Reg(G),Dhawal Dalal,DT-B&PSU,0.88,0.71,0.56,0.49,0.4,0.51,0.46,0.44,0.5,0.39,Debt : Banking & PSU
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50:50 Index Fund Reg(G),Dhawal Dalal,DT-M&LD,1.21,1,0.38,0.58,0.22,0.53,0.61,0.46,0.4,0.27,Debt : Medium to Long Duration
Edelweiss Nifty Smallcap 250 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,1.6,9.58,5.7,-3.61,-3.64,1.05,3.65,-3.39,-0.33,-5.56,Equity : Index Funds
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,Bhavesh Jain,EQ-ETF,2.91,7.19,4.16,-6.4,-2.57,1.18,4.93,0.17,-3.34,-1.66,Equity : ETFs
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,2.86,7.14,4.08,-6.5,-2.63,1.12,4.86,0.11,-3.41,-1.71,Equity : Index Funds
Edelweiss Overnight Fund Reg(G),Hetul Raval,DT-ON,0.48,0.48,0.43,0.44,0.44,0.43,0.46,0.43,0.44,0.44,Debt : Overnight
Edelweiss Recently Listed IPO Fund Reg(G),Bhavesh Jain,EQ-THEM,1.03,7.11,3.57,0.16,0.73,1.35,1.45,-1.42,-0.28,-7.7,Equity : Thematic
Edelweiss Silver ETF,Amit Vora,GOLD-ETF,-5.87,3.34,8.43,3.91,6.58,20.24,4.64,10.06,38.99,44.43,Gold : ETFs
Edelweiss Silver ETF FoF Reg(G),Bhavesh Jain,GOLD-MF,-,-,-,-,-,-,-,-,-,29.07,Gold : MFs
Edelweiss Small Cap Fund Reg(G),Dhruv Bhatia,EQ-SML,2.31,6.65,5.76,-1.6,-2.99,0.7,2.91,-1.09,0.22,-3.38,Equity : Small Cap
Edelweiss Technology Fund Reg(G),Sumanta Khan,EQ-TECH,1.5,6.49,6.11,-2.06,-0.72,0.72,5.66,0.73,-0.67,-1.64,Equity : Sectoral - Technology
Edelweiss US Technology Equity FOF Reg(G),Bhavesh Jain,FOF-OVR,2.83,12.09,10.7,4.42,-0.46,8.24,5.96,-6.19,1.1,0.52,FoFs : Overseas
Edelweiss US Value Equity Offshore Fund Reg(G),Bhavesh Jain,FOF-OVR,-5.14,4.38,4.32,3.62,2.24,1.56,-0.14,3.37,2.5,4.89,FoFs : Overseas
Franklin Asian Equity Fund(G),Shyam Sundar Sriram,EQ-INTL,-0.94,5.57,4.82,2.82,0.59,5.69,5.2,-2.01,2.74,8.77,Equity : International
Franklin Build India Fund(G),Ajay Argal,EQ-INFRA,2.6,4.5,3.49,-0.99,-2.84,1.79,4.29,-0.89,-1.06,-1.17,Equity : Sectoral - Infrastructure
Franklin India Aggressive Hybrid Fund(G),Rajasa Kakulavarapu,HY-EQ,2.82,2.25,1.92,-1.15,-1.56,0.26,2.94,0.5,-0.88,-1.92,Hybrid : Equity Oriented
Franklin India Arbitrage Fund Reg(G),Mukesh Jain,HY-ARB,0.68,0.37,0.53,0.57,0.37,0.34,0.52,0.52,0.62,0.73,Hybrid : Arbitrage
Franklin India Balanced Advantage Fund Reg(G),Rajasa Kakulavarapu,HY-DYN,2.19,1.77,1.45,-0.6,-1.07,0.31,2.23,0.48,-0.49,-1.37,Hybrid : Dynamic Asset Allocation
Franklin India Banking & PSU Debt Fund(G),Chandni Gupta,DT-B&PSU,1.25,1.16,0.18,0.6,-0.04,0.78,0.73,0.59,0.34,0.19,Debt : Banking & PSU
Franklin India Conservative Hybrid Fund(G),Rohan Maru,HY-DT(CO),2.05,1.37,0.92,-0.04,-0.99,0.58,1.26,0.35,-0.02,-0.67,Hybrid : Debt Oriented (Conservative)
Franklin India Corp Debt Fund A(G),Anuj Tagra,DT-CORP,2.49,1.14,0.28,0.62,-0.02,0.67,0.61,0.53,0.39,0.19,Debt : Corporate Bond
Franklin India Dividend Yield Fund(G),Rajasa Kakulavarapu,EQ-DIV,1.93,1.39,2.02,-2.85,-1.54,2.05,3,-0.83,0.82,0.82,Equity : Thematic - Dividend Yield
Franklin India Dynamic Asset Allocation Active FOFs(G),Rajasa Kakulavarapu,FOF-DOM,2.75,1.54,1.52,-0.8,-1.05,0.38,2.41,0.62,-0.43,-1.41,FoFs : Domestic
Franklin India ELSS Tax Saver Fund(G),R. Janakiraman,EQ-ELSS,4.02,2.35,2.85,-2.2,-2.25,0.22,4.33,0.48,-1.16,-2.81,Equity : Tax Saving (ELSS)
Franklin India Equity Savings Fund(G),Rajasa Kakulavarapu,HY-EQ,1.2,0.73,0.9,0.11,-0.05,0.58,1.05,0.59,0.19,0,Hybrid : Equity Oriented
Franklin India Flexi Cap Fund(G),R. Janakiraman,EQ-FLEX,4.16,2.37,3.08,-2.37,-2.24,0.3,4.26,0.8,-0.93,-2.55,Equity : Flexi Cap
Franklin India Floating Rate Fund(G),Pallab Roy,DT-FL,1.62,0.9,0.44,0.67,-0.36,0.73,0.67,0.43,0.42,0.34,Debt : Floater
Franklin India Focused Equity Fund(G),Ajay Argal,EQ-MLC,4.84,1.59,3.32,-0.8,-1.15,0.39,3.11,1.22,-1.2,-2.98,Equity : Multi Cap
Franklin India G Sec Fund(G),Anuj Tagra,DT-GILT,1.8,0.5,-1.21,0.41,-1.99,1.82,0.64,0.1,0.76,0.32,Debt : Gilt
Franklin India Income Plus Arbitrage Active FoF(G),Rohan Maru,FOF-DOM,4.29,0.99,1.67,0.12,-0.02,0.68,0.6,0.47,0.5,0.38,FoFs : Domestic
Franklin India Large & Mid Cap Fund(G),Venkatesh Sanjeevi,EQ-L&M,3.56,3.74,5.77,-2.75,-0.57,-0.88,4.59,0.54,-0.8,-4.39,Equity : Large & Mid Cap
Franklin India Large Cap Fund(G),Venkatesh Sanjeevi,EQ-LC,3.5,1.53,4.09,-1.91,-1.01,-0.09,3.63,2.22,-0.54,-2.47,Equity : Large Cap
Franklin India Liquid Fund Super Inst(G),Pallab Roy,DT-LIQ,0.61,0.56,0.51,0.49,0.47,0.48,0.48,0.48,0.51,0.46,Debt : Liquid
Franklin India Long Duration Fund Reg(G),Chandni Gupta,DT-LD,2.67,-0.09,-2.02,0.36,-2.15,2.37,0.7,-0.09,0.54,0.15,Debt : Long Duration
Franklin India Low Duration Fund Reg(G),Chandni Gupta,DT-LOWD,0.94,0.7,0.66,0.62,0.34,0.53,0.58,0.52,0.36,0.36,Debt : Low Duration
Franklin India Medium to Long Duration Fund Reg(G),Chandni Gupta,DT-M&LD,2.04,0.74,-0.15,0.33,-0.92,0.9,0.81,0.37,0.03,0.05,Debt : Medium to Long Duration
Franklin India Mid Cap Fund(G),R. Janakiraman,EQ-MID,2.7,4.43,4.65,-2.26,-2.42,-0.45,4.56,1.07,-0.64,-4.74,Equity : Mid Cap
Franklin India Money Market Fund(G),Rohan Maru,DT-MM,0.89,0.68,0.61,0.57,0.42,0.5,0.5,0.47,0.51,0.35,Debt : Money Market
Franklin India Multi Asset Allocation Fund Reg(G),R. Janakiraman,HY-MULTI,-,-,-,-,-0.86,1.76,3.15,1.74,2.54,2.63,Hybrid : Multi Asset Allocation
Franklin India Multi Cap Fund Reg(G),R. Janakiraman,EQ-MLC,3.73,3.13,4.29,-1.21,-1.24,1.39,4.02,1.08,-0.77,-3.23,Equity : Multi Cap
Franklin India Multi Factor Fund(G),Arihant Jain,EQ-THEM,-,-,-,-,-,-,-,-,0.76,-3.11,Equity : Thematic
Franklin India NSE Nifty 50 Index Fund(G),Shyam Sundar Sriram,EQ-INDX,3.43,1.86,3.3,-2.81,-1.26,0.72,4.57,1.85,-0.26,-3.07,Equity : Index Funds
Franklin India Opportunities Fund(G),R. Janakiraman,EQ-THEM,4.23,3.85,2.67,0.1,-0.36,0.61,3.5,-0.27,-0.9,-2.82,Equity : Thematic
Franklin India Overnight Fund(G),Pallab Roy,DT-ON,0.48,0.48,0.43,0.45,0.45,0.44,0.46,0.43,0.45,0.45,Debt : Overnight
Franklin India Retirement Fund(G),Anuj Tagra,HY-SOL,2.13,1.73,1.24,-0.42,-1.06,0.29,1.78,0.4,-0.43,-1.22,Hybrid : Solution Oriented
Franklin India Small Cap Fund(G),R. Janakiraman,EQ-SML,4.24,7.87,3.07,-1.62,-4.2,-0.52,4.19,-2.02,-2.2,-3.7,Equity : Small Cap
Franklin India Technology Fund(G),R. Janakiraman,EQ-TECH,0.48,6.18,4.71,-3.03,-0.36,-0.84,4.63,0.67,1.58,-3.17,Equity : Sectoral - Technology
Franklin India Ultra Short Duration Fund Reg(G),Rohan Maru,DT-USD,0.76,0.62,0.63,0.57,0.43,0.5,0.53,0.43,0.46,0.34,Debt : Ultra Short Duration
Franklin U.S. Opportunities Equity Active FOF(G),Sandeep Manam,FOF-OVR,0.95,9.26,5.85,3.26,0.58,3.13,0.96,-1.38,-0.6,1.28,FoFs : Overseas
Groww Aggressive Hybrid Fund Reg(G),Anupam Tiwari,HY-EQ,2.26,2.1,2.24,-1.07,-1.2,1.06,2.21,1.1,-0.56,-2.71,Hybrid : Equity Oriented
Groww Banking & Financial Services Fund Reg(G),Anupam Tiwari,EQ-FIN,3.99,4.96,3.71,-1.98,-3.73,1.22,4.36,1.36,-0.84,-0.27,Equity : Sectoral - Financial Services
Groww BSE Power ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,-,5.21,3.09,-4.09,-1.71,-1.73,Equity : ETFs
Groww BSE Power ETF FoF Reg(G),Aakash Chauhan,FOF-DOM,-,-,-,-,-,5.04,3.12,-4,-1.85,-1.87,FoFs : Domestic
Groww Dynamic Bond Fund Reg(G),Kaustubh Sule,DT-DYN,2.02,0.11,-1.23,0.4,-1.28,1.15,0.18,-0.14,0.45,-0.21,Debt : Dynamic Bond
Groww ELSS Tax Saver Fund Reg(G),Paras Matalia,EQ-ELSS,0.99,6.43,3.53,-0.69,-1.89,-0.25,2.75,0.3,-0.64,-3.83,Equity : Tax Saving (ELSS)
Groww Gilt Fund Reg(G),Kaustubh Sule,DT-GILT,-,-,-2.05,0.32,-1.92,1.52,0.02,-0.42,0.68,-0.28,Debt : Gilt
Groww Gold ETF,Wilfred Gonsalves,GOLD-ETF,5.65,1.13,0.62,2.37,3.82,12.15,4.82,4.47,5.07,23.1,Gold : ETFs
Groww Gold ETF FOF Reg(G),Wilfred Gonsalves,GOLD-MF,5.95,0.25,0.62,2.44,3.91,12.08,3.88,4.15,5.7,20.24,Gold : MFs
Groww Largecap Fund Reg(G),Anupam Tiwari,EQ-LC,2.61,3.56,3.8,-1.96,-1.08,1.38,3.25,1.11,-0.72,-2.82,Equity : Large Cap
Groww Liquid Fund Reg(G),Kaustubh Sule,DT-LIQ,0.61,0.54,0.52,0.48,0.47,0.47,0.48,0.48,0.5,0.43,Debt : Liquid
Groww Money Market Fund Reg(G),Kaustubh Sule,DT-MM,-,-,-,-,-,-,-,-,0.45,0.26,Debt : Money Market
Groww Multi Asset Allocation Fund Reg(G),Paras Matalia,HY-MULTI,-,-,-,-,-,-,0.57,1.51,1.33,1.25,Hybrid : Multi Asset Allocation
Groww Multi Asset Omni FOF Reg(G),Paras Matalia,FOF-DOM,-,-,-,-,-,-,-,-,-,-0.41,FoFs : Domestic
Groww Multicap Fund Reg(G),Anupam Tiwari,EQ-MLC,3.08,7.14,4.83,-1.02,-1.1,1.21,3.99,0.61,-0.81,-4.11,Equity : Multi Cap
Groww Nifty 1D Rate Liquid ETF,Kaustubh Sule,DT-ETF,0.44,0.43,0.41,0.41,0.42,0.4,0.42,0.4,0.4,0.38,Debt : ETFs
Groww Nifty 200 ETF,Aakash Chauhan,EQ-ETF,3.47,2.81,3.45,-2.93,-1.59,1.19,4.55,1.53,-0.34,-2.99,Equity : ETFs
Groww Nifty 200 ETF FOF Reg(G),Aakash Chauhan,EQ-ETF,3.67,2.34,3.35,-2.93,-1.77,1.39,4.52,1.4,-0.74,-3.13,Equity : ETFs
Groww Nifty 50 ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,-1.24,0.74,4.58,1.88,-0.29,-3.04,Equity : ETFs
Groww Nifty 50 Index Fund Reg(G),Aakash Chauhan,EQ-INDX,-,-,-,-,-1.31,0.64,4.5,1.8,-0.39,-3.13,Equity : Index Funds
Groww Nifty 500 Low Volatility 50 ETF,Aakash Chauhan,EQ-ETF,-,-,-,-2.37,1.6,1.3,3.01,1.25,0.34,-2.59,Equity : ETFs
Groww Nifty 500 Momentum 50 ETF,Aakash Chauhan,EQ-ETF,-,5.43,5.22,-6.07,-3.35,0.71,5.69,2.4,-4.06,-3.67,Equity : ETFs
Groww Nifty 500 Momentum 50 ETF FOF Reg(G),Aakash Chauhan,FOF-DOM,-,7.14,5.46,-6.42,-3.13,0.43,6.01,2.17,-4.04,-4.3,FoFs : Domestic
Groww Nifty Capital Markets ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,-,-,-,-,-,-0.1,Equity : ETFs
Groww Nifty Capital Markets ETF FOF Reg(G),Aakash Chauhan,FOF-DOM,-,-,-,-,-,-,-,-,-,-0.46,FoFs : Domestic
Groww Nifty EV & New Age Automotive ETF,Aakash Chauhan,EQ-ETF,2.11,6.96,1.19,-1.38,2.89,2.74,1.29,0.72,0.73,-6.23,Equity : ETFs
Groww Nifty EV & New Age Automotive ETF FOF Reg(G),Aakash Chauhan,FOF-DOM,1.55,7.1,1.22,-1.79,2.92,2.96,1.02,0.53,0.74,-6.04,FoFs : Domestic
Groww Nifty India Defence ETF,Aakash Chauhan,EQ-ETF,11.46,21.71,2.08,-12.36,-4.61,5.88,3.59,-1.54,-3.32,5.6,Equity : ETFs
Groww Nifty India Defence ETF FOF Reg(G),Aakash Chauhan,FOF-DOM,12.06,21.58,1.53,-12.11,-4.75,5.73,3.24,-1.12,-3.63,5.95,FoFs : Domestic
Groww Nifty India Internet ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,0.67,-0.98,4.73,-1.47,-2.76,-8.28,Equity : ETFs
Groww Nifty India Internet ETF FOF Reg(G),Aakash Chauhan,FOF-DOM,-,-,-,-,1.2,-1.22,4.98,-1.71,-2.96,-8.35,FoFs : Domestic
Groww Nifty India Railways PSU ETF,Aakash Chauhan,EQ-ETF,0.17,11.05,1.41,-8.13,-7.39,5.22,1.37,-3.71,3.98,-2.97,Equity : ETFs
Groww Nifty India Railways PSU Index Fund Reg(G),Aakash Chauhan,EQ-INDX,0.12,10.96,1.33,-8.18,-7.46,5.19,1.32,-3.87,3.92,-3.04,Equity : Index Funds
Groww Nifty Metal ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,-,-,-,-,-,5.87,Equity : ETFs
Groww Nifty Midcap 150 ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,-,-,-,-,-0.54,-3.45,Equity : ETFs
Groww Nifty Midcap 150 Index Fund Reg(G),Aakash Chauhan,EQ-INDX,-,-,-,-,-,-,-,-,-0.62,-3.56,Equity : Index Funds
Groww Nifty Next 50 ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,-,3.08,2.93,-0.96,0.3,-2.19,Equity : ETFs
Groww Nifty Next 50 Index Fund Reg(G),Aakash Chauhan,EQ-INDX,-,-,-,-,-,3.09,2.86,-1.03,0.22,-2.24,Equity : Index Funds
Groww Nifty Non Cyclical Consumer Index Fund Reg(G),Aakash Chauhan,EQ-INDX,5.48,-0.41,3.66,-0.44,1.38,-2.72,2.58,-0.23,-2.23,-6.77,Equity : Index Funds
Groww Nifty Realty ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,-,-,-,-4.7,-2.82,-10.8,Equity : ETFs
Groww Nifty Smallcap 250 ETF,Aakash Chauhan,EQ-ETF,-,-,-,-,-,-,-,-3.3,-0.32,-5.49,Equity : ETFs
Groww Nifty Smallcap 250 Index Fund Reg(G),Aakash Chauhan,EQ-INDX,1.62,9.56,5.69,-3.65,-3.68,1.06,3.6,-3.22,-0.4,-5.6,Equity : Index Funds
Groww Nifty Total Market Index Fund Reg(G),Aakash Chauhan,EQ-INDX,3.09,3.87,3.64,-2.84,-1.98,1.06,4.25,0.78,-0.43,-3.46,Equity : Index Funds
